Rang,Nom,Marque,Catégorie,Phytocomposants,Total
1,LUXEOL Shampooing Pousse Cheveux,‎Luxéol,Shampoings,Acacia Concinna Fruit Extract · Balanites Aegyptiaca Fruit Extract · Gypsophila Paniculata Root Extract,3
2,Batiste Shampooing Sec Nude,‎Batiste,Shampoings,Oryza sativa,1
3,SKALA EXPERT Mais CACHOS,‎SKALA,Shampoings,Ricinus Communis Seed Oil · Argania Spinosa Kernel Oil,2
4,LUXÉOL Shampoing Épaississant,‎Luxéol,Shampoings,Palmaria Palmata Extract,1
6,Neutrogena T/Gel Fort Shampoing,‎Neutrogena,Shampoings,,0
11,LUXÉOL Shampooing Antichute,‎Luxéol,Shampoings,Citronellol · Geraniol · Linalool,3
12,GARNIER FRUCTIS Méthode Boucles,‎Garnier,Shampoings,Helianthus annuus seed oil · Butyrospermum parkii butter,2
13,Garnier Ultra Doux Masque Lissant Douceur & Brillance,‎Garnier,Shampoings,Helianthus annuus seed oil · Butyrospermum parkii butter,2
16,Shampoing Coco & Beurre de Karité BIO,‎Energie Fruit,Shampoings,Cocos nucifera oil,1
17,L'Oréal Paris Elseve Color-Vive Shampooing Violet 200 ml,‎L’Oréal Paris,Shampoings,Iris Florentina Root Extract,1
18,Naturé Moi Shampooing Nourrissant,‎Naturé moi,Shampoings,Sesamum indicum seed oil · Prunus armeniaca fruit extract,2
19,Batiste Shampooing Sec Sensible,‎Batiste,Shampoings,Oryza Sativa Starch · Aloe Barbadensis Leaf Extract,2
21,Ultra Doux,‎Garnier,Shampoings,Helianthus annuus seed oil · Rosmarinus officinalis leaf extract · Persea gratissima oil · Butyrospermum parkii butter,4
23,LUXEOL Conditionneur Croissance Sans Rinçage,‎Luxéol,Shampoings,Ricinus Communis Seed Oil · Phyllanthus Emblica Fruit Extract · Panax Ginseng Root Extract,3
25,Garnier Ultra Doux Shampooing Charbon & Nigelle,‎Garnier,Shampoings,Nigella sativa seed oil,1
27,L’Oréal Professionnel Metal Detox,‎L'Oréal Professionnel Paris,Shampoings,,0
28,Saugella Crème Douceur,‎Saugella,Shampoings,Calendula officinalis Flower Extract · Prunus armeniaca Kernel Oil · Lythrum salicaria Extract · Helichrysum italicum Extract,4
29,Garnier Ultra Doux Masque Cheveux Secs Avocat Karité 340ml,‎Garnier,Shampoings,Helianthus annuus seed oil · Rosmarinus officinalis leaf extract · Persea gratissima oil · Butyrospermum parkii butter,4
30,Ultra Doux Après-Shampooing,‎Garnier,Shampoings,Helianthus annuus seed oil · Rosmarinus officinalis leaf extract · Persea gratissima oil · Butyrospermum parkii butter,4
1,Garnier Pure Active Gel Nettoyant Charbon,‎Garnier,Gels Démaquillants,Vaccinium Myrtillus Fruit Extract,1
6,BOat Cleansing Balm,‎The INKEY List,Gels Démaquillants,Prunus Amygdalus Dulcis · Avena Sativa Kernel Oil · Avena Sativa Kernel Flour · Helianthus Annuus Seed Oil,4
9,LE PETIT OLIVIER Gelée Micellaire Démaquillante,‎Le Petit Olivier,Gels Démaquillants,Camellia sinensis leaf water · Aloe barbadensis leaf juice powder,2
10,Tattoo Gel Lavant,‎BepanthenDerma,Gels Démaquillants,Argania Spinosa Kernel Oil,1
11,L'Oréal Men Expert Gel Moussant Purifiant Anti-Imperfections,‎L'Oréal Men Expert,Gels Démaquillants,,0
12,Lumineo Gel nettoyant pour le visage,‎Lumineo,Gels Démaquillants,Leontopodium Alpinum Flower/Leaf Extract · Rhodiola Rosea Extract · Porphyra Umbilicalis Extract · Schisandra Chinensis Fruit Extract · Oryza Sativa Extract · Nannochloropsis Oculata Extract · Silybum Marianum Seed Oil,7
13,WELEDA Gel nettoyant rafraîchissant,‎WELEDA,Gels Démaquillants,Aloe barbadensis leaf juice · Hamamelis virginiana water,2
14,Gel Nettoyant au Charbon,‎Biore,Gels Démaquillants,Cocamidopropyl betaine,1
15,KIKO Milano Pure Clean Micellar Gel,‎KIKO Milano,Gels Démaquillants,Betula alba juice · Houttuynia cordata extract · Paeonia officinalis flower extract · Punica granatum pericarp extract,4
19,Saint-Gervais Mont Blanc Gel Purifiant Nettoyant,‎Saint-Gervais Mont Blanc,Gels Démaquillants,Epilobium fleischeri flower/leaf/stem extract,1
21,Bioderma Sensibio Gel Moussant,‎Bioderma,Gels Démaquillants,,0
22,Neutrogena Hydro Boost Aqua-Gel Nettoyant Visage,‎Neutrogena,Gels Démaquillants,,0
23,Gel Nettoyant Moussant Yonka 200ml,‎Yonka,Gels Démaquillants,Iris florentina root extract · Asparagopsis armata extract · Lavandula angustifolia oil · Litsea cubeba fruit oil · Pelargonium graveolens leaf oil,5
26,Garnier Bio Gel Lemongrass,‎Garnier,Gels Démaquillants,Butyrospermum parkii butter · Aloe barbadensis leaf juice powder · Centaurea cyanus flower water · Argania spinosa kernel oil · Helianthus annuus seed oil,5
27,Neutrogena Curcuma Clear Nettoyant Visage,‎Neutrogena,Gels Démaquillants,Curcuma Longa Extract,1
29,Neutrogena Hydro Boost Aqua Gel,‎Neutrogena,Gels Démaquillants,Coconut Acid,1
